Site Prevalence,Owner,Number_of_Dogs_Per_Location,Sex_Owner,Dog,Sex_Dog,Age_Years,Age_Grouped,Age_Grouped_Coded,Size_Wt_Lbs,Size_Wt_Lbs_Coded,Breed,Breed_Group,Y,X,Results 
0,NSC 1,3,F,CA150708D01,F,0.33,Less than 6 months,1,<20,1,Chihuahua,Toy,26.21255,-98.380749,Negative 
0,NSC 1,3,F,CA150708D02,F,1+,1-2 years,3,<20,1,Chihuahua,Toy,26.21255,-98.380749,Negative 
0,NSC 1,3,F,CA150708D03,M,7,5+ years,4,>50,3,Pitbull_Mix,Terrier,26.21255,-98.380749,Negative 
0.33,CA-150708-H08,3,F,CA150708D04,F,3,2-5 years,4,<20,1,Chihuahua,Toy,26.211765,-98.379097,Positive
0.33,CA-150708-H08,3,F,CA150708D05,M,1+,1-2 years,3,<20,1,Terrier_Mix,Terrier,26.211765,-98.379097,Negative 
0.33,CA-150708-H08,3,F,CA150708D06,F,7,5+ years,5,>50,3,Shepherd_Mix,Herding,26.211765,-98.379097,Negative 
0,CA-150708-H16,2,F,CA150708D07,M,5,5+ years,5,>50,3,Pitbull,Terrier,26.213354,-98.383692,Negative 
0,CA-150708-H16,2,F,CA150708D08,F,0.5,6 months to a year,2,<20,1,Terrier_Mix,Terrier,26.213354,-98.383692,Negative 
0.5,CA-150708-H24,4,F,CA150708D09,F,5,5+ years,5,<20,1,Dauschund_Mix,Hound,26.209574,-98.376428,Positive
0,CA-150708-H17,2,F,CA150708D10,F,1,1-2 years,3,<20,1,Chihuahua,Toy,26.212632,-98.380043,Negative 
0,CA-150708-H17,2,F,CA150708D11,M,0.5,6 months to a year,2,20-50,2,Shepherd_Mix,Herding,26.212632,-98.380043,Negative 
0.5,CA-150708-H24,4,F,CA150708D12,F,3,2-5 years,4,<20,1,Chihuahua,Toy,26.209574,-98.376428,Negative 
0.5,CA-150708-H24,4,F,CA150708D13,M,10,5+ years,5,20-50,2,Poodle,Non_Sporting,26.209574,-98.376428,Negative 
0.5,CA-150708-H24,4,F,CA150708D14,M,1+,1-2 years,3,<20,1,Terrier_Mix,Terrier,26.209574,-98.376428,Positive
